Timestamp,What is your highest level of education?,Which field or stream were you studying in?,Please specify your major/field of study (if applicable).,"On a scale of 1 to 5, how much did you enjoy your primary field of study?",What are your top three skills? (Select three),In which industry are you presently working?,Rate the importance of the following factors in your career choice: [Salary],Rate the importance of the following factors in your career choice: [Work-life balance],Rate the importance of the following factors in your career choice: [Career growth opportunities],Rate the importance of the following factors in your career choice: [Impact/Meaningfulness of work],Rate the importance of the following factors in your career choice: [Company culture],Rate the importance of the following factors in your career choice: [Location],What is your most preferred work environment?,How comfortable are you with using digital tools and technology?,How important was passion or personal interest in choosing your career?,Do you like working in teams? ,"How do you define ""career success""?",How confident are you in your ability to achieve your career goals?,Please provide any additional comments that might help us understand your career aspirations.,"Specify industry if choosing ""Other"" (Skip if industry previously chosen)"
11/6/2025 21:55:10,Master's Degree or Equivalent,Engineering,,3,"Data Analysis, Communication, Project Management",Technology,Very Important,Moderately Important,Extremely Important,Slightly Important,Extremely Important,Extremely Important,Hybrid,5,4,5,Financial Achievements,5,,
11/6/2025 22:04:24,Master's Degree or Equivalent,Engineering,Metallurgical and Materials Engineering ,4,"Communication, Problem Solving, Teamwork, Leadership",Manufacturing,Very Important,Very Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Flexible hours,5,5,4,Social recognition,5,,
11/7/2025 8:25:36,Master's Degree or Equivalent,Business & Management,,1,"Communication, Problem Solving, Teamwork",Healthcare,Very Important,Very Important,Very Important,Moderately Important,Very Important,Very Important,Remote,5,4,4,Job satisfaction,4,,
11/7/2025 10:14:53,Master's Degree or Equivalent,Business & Management,Marketing,5,"Problem Solving, Creativity, Leadership",Other,Extremely Important,Not Important,Extremely Important,Very Important,Moderately Important,Slightly Important,Hybrid,5,4,5,Financial Achievements,5,To open my own company and to get listed before  leaving is the goal.,
11/7/2025 13:02:21,Bachelor's Degree or Equivalent,Engineering,Diploma of Pharmacy,2,"Communication, Teamwork, Creativity",Consulting,Extremely Important,Very Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Flexible hours,5,5,1,Financial Achievements,5,"When you have money, you have also 100 problem. But when you dont have money ,you have only one problem. For me money isn't everything but i want money. So i work hard... 2.0",
11/7/2025 14:42:10,Bachelor's Degree or Equivalent,Sciences/Mathematics,,5,"Problem Solving, Teamwork, Leadership",Government,Slightly Important,Slightly Important,Slightly Important,Not Important,Slightly Important,Not Important,Flexible hours,4,5,5,Social recognition,4,,
11/7/2025 14:45:14,High School Diploma or Equivalent,Commerce,,5,"Programming, Data Analysis, Communication, Problem Solving, Teamwork, Leadership, Project Management, Customer Service",Government,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Slightly Important,Flexible hours,3,5,4,Financial Achievements,4,Urgent need ,
11/7/2025 14:46:10,Master's Degree or Equivalent,Business & Management,Systems and Finance,5,"Communication, Problem Solving, Teamwork, Creativity, Leadership, Project Management",Consulting,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Hybrid,5,5,5,Making a difference,5,,
11/7/2025 14:46:48,Master's Degree or Equivalent,Engineering,MECHANICAL ENGINEERING,5,Leadership,Education,Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Very Important,Collaborative,5,4,5,Making a difference,5,NONE,
11/7/2025 14:48:59,Master's Degree or Equivalent,Sciences/Mathematics,Nulear physics,3,"Communication, Problem Solving, Project Management",Education,Moderately Important,Moderately Important,Slightly Important,Moderately Important,Slightly Important,Moderately Important,Collaborative,5,5,4,Making a difference,4,Energetic,
11/7/2025 14:58:40,Master's Degree or Equivalent,Arts & Entertainment,Arts- POST GRADUATION ,3,"Programming, Data Analysis, Problem Solving, Teamwork, Leadership",Education,Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Flexible hours,3,3,4,Financial Achievements,4,Good Profile jobs,
11/7/2025 15:02:20,Bachelor's Degree or Equivalent,Engineering,Mechanical engineering ,5,"Problem Solving, Teamwork, Leadership, Project Management, Customer Service, Other",Manufacturing,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Slightly Important,Hybrid,4,4,5,Job satisfaction,4,,
11/7/2025 15:10:41,Bachelor's Degree or Equivalent,Engineering,,4,"Communication, Problem Solving, Teamwork",Other,Very Important,Very Important,Extremely Important,Very Important,Extremely Important,Slightly Important,Hybrid,3,4,1,Making a difference,5,,
11/7/2025 15:15:43,Bachelor's Degree or Equivalent,Engineering,Data analytics,4,"Programming, Data Analysis, Problem Solving",Technology,Very Important,Moderately Important,Very Important,Very Important,Moderately Important,Moderately Important,Hybrid,5,5,5,Financial Achievements,5,,
11/7/2025 15:16:59,Bachelor's Degree or Equivalent,Engineering,,5,"Programming, Problem Solving, Teamwork",Technology,Very Important,Very Important,Very Important,Very Important,Extremely Important,Moderately Important,In-office,5,5,5,Making a difference,5,,
11/7/2025 15:21:45,Bachelor's Degree or Equivalent,Engineering,Electronics and communication ,5,"Data Analysis, Problem Solving, Teamwork, Creativity, Leadership, Project Management, Technical Writing",Finance,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Hybrid,5,5,5,Job satisfaction,5,,
11/7/2025 15:25:48,Bachelor's Degree or Equivalent,Engineering,MECHANICAL ENGINEERING,5,"Teamwork, Project Management, Customer Service, Technical Writing",Technology,Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Extremely Important,Hybrid,5,5,5,Making a difference,4,Team Work is the Key Tool for SUCCESS ,
11/7/2025 15:27:27,Bachelor's Degree or Equivalent,Engineering,Computer science ,4,"Programming, Data Analysis, Problem Solving",Technology,Very Important,Extremely Important,Extremely Important,Moderately Important,Very Important,Moderately Important,In-office,5,5,5,Job satisfaction,5,People must be adaptive in learning new technology and should be resilient.,
11/7/2025 15:31:23,Master's Degree or Equivalent,Engineering,Machine Learning ,4,"Programming, Communication, Problem Solving",Education,Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Moderately Important,Hybrid,5,3,1,Job satisfaction,4,,
11/7/2025 15:47:39,Master's Degree or Equivalent,Sciences/Mathematics,Pure Mathematics,3,"Problem Solving, Teamwork, Creativity",Education,Very Important,Extremely Important,Very Important,Extremely Important,Very Important,Moderately Important,Structured environment,3,5,4,Making a difference,4,,
11/7/2025 16:46:21,Bachelor's Degree or Equivalent,Sciences/Mathematics,Nursing ,4,"Communication, Problem Solving, Teamwork, Other",Healthcare,Extremely Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Flexible hours,4,3,5,Job satisfaction,4,,
11/7/2025 16:58:06,Bachelor's Degree or Equivalent,Sciences/Mathematics,,4,"Teamwork, Leadership, Project Management",Other,Slightly Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Slightly Important,Collaborative,5,4,4,Job satisfaction,5,,
11/7/2025 18:23:24,Bachelor's Degree or Equivalent,Engineering,,5,"Programming, Data Analysis, Problem Solving",Technology,Very Important,Extremely Important,Very Important,Very Important,Extremely Important,Extremely Important,Hybrid,4,5,5,Financial Achievements,5,,
11/7/2025 19:05:02,Bachelor's Degree or Equivalent,Engineering,Metalargy ,3,"Communication, Teamwork, Leadership",Manufacturing,Slightly Important,Slightly Important,Slightly Important,Not Important,Not Important,Slightly Important,Independent,3,1,1,Job satisfaction,5,Ready to move ,
11/7/2025 19:09:15,Bachelor's Degree or Equivalent,Engineering,Computer Science ,4,"Data Analysis, Communication, Problem Solving",Technology,Very Important,Extremely Important,Moderately Important,Moderately Important,Moderately Important,Extremely Important,Hybrid,4,4,4,Social recognition,5,,
11/7/2025 19:17:50,Bachelor's Degree or Equivalent,Engineering,Btech Mechanical Engineering,4,"Data Analysis, Communication, Problem Solving, Teamwork, Creativity, Leadership, Project Management, Customer Service, Technical Writing",Manufacturing,Moderately Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,In-office,5,5,5,Financial Achievements,5,,
11/7/2025 19:24:54,Bachelor's Degree or Equivalent,Engineering,Chemical engineering ,5,"Problem Solving, Teamwork, Leadership",Manufacturing,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Collaborative,5,5,5,Job satisfaction,5,,
11/7/2025 19:30:45,Master's Degree or Equivalent,Business & Management,Marketing ,5,"Communication, Problem Solving, Teamwork, Leadership, Customer Service",Finance,Very Important,Very Important,Extremely Important,Very Important,Very Important,Moderately Important,Hybrid,5,5,4,Job satisfaction,5,"I aspire to build a strong career in the field of marketing, where I can use my creativity and strategic thinking to understand consumer behavior, build brand value, and drive business growth. I am particularly interested in digital and brand marketing, as they allow me to combine data-driven insights with innovative ideas. My goal is to develop expertise in creating impactful campaigns and eventually take on a leadership role in marketing strategy. I see this opportunity as a valuable step toward learning from real-world projects, strengthening my skills, and contributing meaningfully to the organization’s growth.",
11/7/2025 21:42:14,Bachelor's Degree or Equivalent,Engineering,Mechanical Engineering,4,"Problem Solving, Teamwork, Technical Writing",Manufacturing,Very Important,Moderately Important,Very Important,Extremely Important,Very Important,Very Important,Hybrid,4,2,4,Making a difference,4,,
11/7/2025 21:49:47,Master's Degree or Equivalent,Sciences/Mathematics,Medicine ,4,"Communication, Problem Solving, Other",Healthcare,Very Important,Very Important,Moderately Important,Very Important,Extremely Important,Very Important,Flexible hours,4,5,1,Financial Achievements,5,,
11/7/2025 21:58:48,Bachelor's Degree or Equivalent,Engineering,,3,"Problem Solving, Teamwork, Leadership, Project Management",Manufacturing,Moderately Important,Very Important,Very Important,Moderately Important,Very Important,Moderately Important,Flexible hours,3,3,3,Making a difference,3,,
11/7/2025 22:04:29,Bachelor's Degree or Equivalent,Engineering,,4,"Data Analysis, Teamwork, Other",Other,Extremely Important,Moderately Important,Moderately Important,Moderately Important,Very Important,Moderately Important,Hybrid,4,2,4,Making a difference,3,,
11/7/2025 22:45:50,Master's Degree or Equivalent,Business & Management,General Management,4,"Data Analysis, Problem Solving, Leadership",Manufacturing,Very Important,Very Important,Extremely Important,Very Important,Moderately Important,Very Important,Hybrid,4,3,4,Making a difference,4,NA,
11/7/2025 23:38:07,Master's Degree or Equivalent,Business & Management,MBA,4,"Data Analysis, Problem Solving, Project Management",Consulting,Extremely Important,Very Important,Extremely Important,Very Important,Moderately Important,Extremely Important,Hybrid,5,5,5,Financial Achievements,5,,
11/8/2025 11:08:29,Master's Degree or Equivalent,Engineering,Wireless Communication ,4,"Programming, Problem Solving, Creativity",Technology,Very Important,Very Important,Extremely Important,Extremely Important,Moderately Important,Very Important,Hybrid,4,3,4,Financial Achievements,4,,
11/8/2025 11:10:15,Master's Degree or Equivalent,Business & Management,Strategy ,5,"Communication, Problem Solving, Project Management",Consulting,Very Important,Moderately Important,Extremely Important,Extremely Important,Extremely Important,Moderately Important,Hybrid,4,3,4,Making a difference,4,,
11/8/2025 11:17:40,Master's Degree or Equivalent,Business & Management,Finance ,5,"Data Analysis, Problem Solving, Leadership",Consulting,Very Important,Slightly Important,Extremely Important,Extremely Important,Very Important,Very Important,Hybrid,5,4,5,Making a difference,5,Work with vast learning opportunities and exposure to different problem statements ,
11/8/2025 11:33:42,Master's Degree or Equivalent,Business & Management,International Business ,5,"Problem Solving, Leadership, Project Management",Consulting,Extremely Important,Extremely Important,Extremely Important,Very Important,Very Important,Extremely Important,Remote,4,5,4,Financial Achievements,5,,
11/8/2025 13:15:20,Master's Degree or Equivalent,Business & Management,Marketing,5,"Data Analysis, Problem Solving, Project Management",Consulting,Extremely Important,Very Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Hybrid,5,5,5,Financial Achievements,5,,
11/8/2025 13:41:21,Master's Degree or Equivalent,Business & Management,Management ,3,"Teamwork, Creativity, Leadership",Arts & Entertainment,Moderately Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Moderately Important,In-office,4,5,5,Job satisfaction,4,,
11/8/2025 13:42:47,Bachelor's Degree or Equivalent,Commerce,Commerce,2,"Teamwork, Creativity, Other",Arts & Entertainment,Very Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Flexible hours,5,5,5,Making a difference,4,,
11/8/2025 13:48:00,Doctorate (Ph.D.),Business & Management,Marketing Analytics ,4,Data Analysis,Marketing/Advertising,Very Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Not Important,Remote,4,4,4,Social recognition,4,,
11/8/2025 13:49:56,High School Diploma or Equivalent,Engineering,Electrical,4,"Communication, Problem Solving, Project Management",Manufacturing,Very Important,Moderately Important,Moderately Important,Slightly Important,Moderately Important,Slightly Important,In-office,3,4,3,Making a difference,4,,
11/8/2025 13:51:07,Bachelor's Degree or Equivalent,Engineering,Computer science ,5,"Programming, Data Analysis, Creativity",Technology,Moderately Important,Moderately Important,Very Important,Very Important,Very Important,Not Important,Flexible hours,5,4,5,Social recognition,3,,
11/8/2025 13:52:39,High School Diploma or Equivalent,Arts & Entertainment,Sports ,5,"Teamwork, Leadership, Other",Other,Moderately Important,Slightly Important,Extremely Important,Extremely Important,Moderately Important,Slightly Important,Structured environment,2,5,5,Social recognition,5,,
11/8/2025 13:54:29,Master's Degree or Equivalent,Business & Management,Marketing,4,"Data Analysis, Problem Solving, Project Management",Technology,Extremely Important,Very Important,Extremely Important,Moderately Important,Extremely Important,Very Important,Hybrid,4,4,5,Financial Achievements,4,,
11/8/2025 14:07:31,Master's Degree or Equivalent,Sciences/Mathematics,Electronics ,5,"Communication, Problem Solving, Teamwork",Finance,Moderately Important,Extremely Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Hybrid,4,5,4,Job satisfaction,5,,
11/8/2025 14:19:24,Master's Degree or Equivalent,Arts & Entertainment,Physical Education ,4,"Communication, Problem Solving, Teamwork, Creativity, Leadership",Education,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,In-office,5,4,3,Job satisfaction,4,"My goal is to provide a good future to the country, by sculpting the youth through physical education. ",
11/8/2025 14:39:51,Master's Degree or Equivalent,Business & Management,Finance,3,"Communication, Creativity, Leadership",Finance,Moderately Important,Extremely Important,Very Important,Moderately Important,Extremely Important,Very Important,Hybrid,3,2,1,Job satisfaction,4,,
11/8/2025 15:15:13,Bachelor's Degree or Equivalent,Engineering,,3,"Data Analysis, Problem Solving, Teamwork",Consulting,Very Important,Extremely Important,Very Important,Very Important,Very Important,Very Important,Remote,4,4,4,Job satisfaction,4,,
11/8/2025 19:28:29,Master's Degree or Equivalent,Business & Management,,4,"Data Analysis, Problem Solving, Leadership",Healthcare,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Moderately Important,Flexible hours,5,5,5,Making a difference,4,,
11/8/2025 20:04:20,Bachelor's Degree or Equivalent,Engineering,Computer Science and Engineering,3,"Programming, Problem Solving, Teamwork",Technology,Moderately Important,Very Important,Extremely Important,Very Important,Very Important,Moderately Important,Flexible hours,4,5,5,Making a difference,4,,
11/8/2025 22:16:10,Bachelor's Degree or Equivalent,Sciences/Mathematics,,4,"Communication, Problem Solving, Creativity",Healthcare,Very Important,Very Important,Moderately Important,Moderately Important,Very Important,Very Important,Flexible hours,3,3,3,Financial Achievements,4,,
11/8/2025 22:17:40,Bachelor's Degree or Equivalent,Commerce,,4,"Communication, Problem Solving, Teamwork",Manufacturing,Very Important,Very Important,Moderately Important,Very Important,Very Important,Very Important,In-office,3,3,3,Financial Achievements,4,,
11/8/2025 22:20:41,Master's Degree or Equivalent,Sciences/Mathematics,MBBS,5,"Problem Solving, Leadership, Customer Service",Healthcare,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,In-office,1,2,5,Making a difference,5,,
11/8/2025 22:42:11,Master's Degree or Equivalent,Business & Management,MBA (Consulting),5,"Communication, Problem Solving, Leadership",Consulting,Very Important,Very Important,Extremely Important,Extremely Important,Extremely Important,Moderately Important,Hybrid,5,4,5,Making a difference,4,,
11/9/2025 7:57:06,Master's Degree or Equivalent,Sciences/Mathematics,Mathematics(hons) and Statistics(MSc) ,4,"Problem Solving, Teamwork, Other",Education,Extremely Important,Extremely Important,Moderately Important,Very Important,Extremely Important,Extremely Important,Flexible hours,3,4,3,Job satisfaction,5,,School 
11/9/2025 12:33:07,Master's Degree or Equivalent,Business & Management,,4,"Data Analysis, Teamwork, Leadership, Project Management",Finance,Extremely Important,Very Important,Extremely Important,Very Important,Very Important,Slightly Important,Hybrid,5,5,5,Making a difference,4,,
11/9/2025 12:44:49,Master's Degree or Equivalent,Business & Management,,4,"Communication, Problem Solving, Leadership",Finance,Extremely Important,Very Important,Very Important,Moderately Important,Moderately Important,Very Important,Hybrid,5,4,5,Job satisfaction,5,,
11/9/2025 19:39:21,Bachelor's Degree or Equivalent,Engineering,,4,"Communication, Problem Solving, Teamwork",Other,Very Important,Extremely Important,Extremely Important,Very Important,Very Important,Moderately Important,In-office,4,4,5,Making a difference,3,,Service
11/9/2025 20:32:48,Master's Degree or Equivalent,Sciences/Mathematics,Zoology ,5,"Communication, Teamwork, Creativity",Education,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Flexible hours,5,3,5,Financial Achievements,4,,
11/9/2025 21:07:39,Master's Degree or Equivalent,Sciences/Mathematics,Biology ,5,"Communication, Teamwork, Creativity",Education,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Flexible hours,5,5,4,Job satisfaction,5,,School 
11/9/2025 21:18:37,Master's Degree or Equivalent,Sciences/Mathematics,Physiology ,5,"Teamwork, Creativity, Other",Education,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Flexible hours,4,4,3,Financial Achievements,3,,
11/9/2025 21:23:20,Master's Degree or Equivalent,Engineering,Chemical engineering ,4,"Programming, Data Analysis, Technical Writing",Other,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Very Important,Moderately Important,Remote,5,4,4,Job satisfaction,4,,Data Science 
11/10/2025 6:51:23,Master's Degree or Equivalent,Humanities & Law,English (MA),5,"Communication, Problem Solving, Teamwork",Education,Extremely Important,Extremely Important,Extremely Important,Very Important,Extremely Important,Very Important,Flexible hours,4,4,5,Financial Achievements,4,,
